date,equity,cash,position_value,total_return,positions
2026-06-12,19990.63,1728.51,18262.12,0.0,5
2026-06-13,20285.12,1728.51,18556.61,0.0143,5
2026-06-14,20285.12,1728.51,18556.61,0.0143,5
2026-06-26,21690.85,10434.59,11256.26,0.0845,3
2026-07-01,21509.33,3190.11,18319.22,0.0755,4
2026-07-02,21471.67,3190.11,18281.56,0.0736,4
2026-07-06,21483.24,2133.04,19350.2,0.0742,4
2026-07-07,21517.19,56.11,21461.08,0.0759,6
2026-07-08,21449.92,56.11,21393.82,0.0725,6
2026-07-09,21449.92,56.11,21393.82,0.0725,6
2026-07-10,21014.71,18.97,20995.74,0.0507,7
2026-07-13,21037.78,56.04,20981.74,0.0519,7
2026-07-14,21317.5,56.04,21261.46,0.0659,7
